Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,10596339,ISH,"2023-07-19 11:09:36",79.08887,19,krobelusv
2,10611304,"Yuanquan Hu","2023-07-19 02:48:47",83.57223,5,iiiklw
3,10695617,"vincy l","2023-07-18 11:04:19",84.53838,1,vincyl
4,10594853,"Wenyue Xi","2023-07-19 00:34:00",86.13517,9,"rebcui,wenyuesuziexi"
5,10604763,FEIMAO冲冲冲,"2023-07-18 13:35:20",90.09882,14,"berylovo,steven1447"
6,10690952,leslie,"2023-07-18 07:52:15",91.64077,4,leslie97
7,10633746,"Zhang Enming25","2023-07-18 09:37:31",91.82591,2,zhangenming25
0,10574386,sample_submission_retention.csv,"2023-06-18 14:14:48",97.18255,1,
8,10679371,Dseidhit,"2023-07-17 05:58:24",101.36619,9,dseidhit
9,10678991,dseidt,"2023-07-18 06:22:13",101.49033,10,dseidt
10,10617380,Saranzeb,"2023-07-19 05:46:52",102.52528,1,saranzeb
11,10584888,"Tracy Porter","2023-06-22 06:26:49",111.44570,4,tracyporter
12,10589698,"Kamal Manisha","2023-07-18 00:45:43",113.04970,8,kamalmanisha
13,10685546,"SMARK SUN","2023-07-16 08:34:57",119.20603,4,smarksun
14,10685893,"[Deleted] ee795f71-831f-4dbf-a0c4-6cfdb533e343","2023-07-15 17:34:20",119.85467,2,del=a670fbfee5c1ae93
15,10653562,"lee dan","2023-07-17 10:45:11",123.18510,1,lidanlidan
16,10626620,"+1 participant","2023-06-30 12:07:32",1492.85302,2,pakapro
